"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
2014, 1.143612729185776e-02, 0.000000000000000e+00, -1.293838451667147e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000144511273e-01, -2.587676903334294e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.904352619947736e-03, 0.000000000000000e+00, 2.187663586491811e+04, 2.613456001683494e+00
2079, 1.293166914579000e-02, 0.000000000000000e+00, -1.254977547881918e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000012093758e-01, -2.509955095763836e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.741667966171332e-03, 0.000000000000000e+00, 2.057644880522360e+04, 2.539206085477310e+00
2144, 1.453534598329693e-02, 0.000000000000000e+00, -1.214642120102987e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000040358350e-01, -2.429284240205975e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.594233145427755e-03, 0.000000000000000e+00, 1.940969056265742e+04, 2.469989023514993e+00
2209, 1.626056779550404e-02, 0.000000000000000e+00, -1.174625408619967e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000015374428e-01, -2.349250817239935e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.459359878733650e-03, 0.000000000000000e+00, 1.835110971864799e+04, 2.404925145422848e+00
2274, 1.812176093605701e-02, 0.000000000000000e+00, -1.133095994187082e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000015340758e-01, -2.266191988374163e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.334996561838600e-03, 0.000000000000000e+00, 1.738207599993049e+04, 2.343331033583079e+00
2339, 2.013448875469928e-02, 0.000000000000000e+00, -1.090081305700184e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000008864000e-01, -2.180162611400367e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.219584740198638e-03, 0.000000000000000e+00, 1.648849784811733e+04, 2.284685295555823e+00
2404, 2.231558173844346e-02, 0.000000000000000e+00, -1.045003757302422e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000006906008e-01, -2.090007514604844e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.111908550757840e-03, 0.000000000000000e+00, 1.565953768284053e+04, 2.228579214664615e+00
2469, 2.468327824858020e-02, 0.000000000000000e+00, -9.977231151290606e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000004588822e-01, -1.995446230258121e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 2.011012585993901e-03, 0.000000000000000e+00, 1.488671070724623e+04, 2.174692795439393e+00
2534, 2.725737703037178e-02, 0.000000000000000e+00, -9.480726594314160e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000003349447e-01, -1.896145318862832e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.916133517216631e-03, 0.000000000000000e+00, 1.416327588076448e+04, 2.122772267289516e+00
2599, 3.005940277072057e-02, 0.000000000000000e+00, -8.960701612209869e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000002341128e-01, -1.792140322441974e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.826654988529572e-03, 0.000000000000000e+00, 1.348379884071339e+04, 2.072615706664163e+00
2664, 3.311278608821051e-02, 0.000000000000000e+00, -8.418379357965829e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000001693530e-01, -1.683675871593166e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.742072540659786e-03, 0.000000000000000e+00, 1.284383958339737e+04, 2.024061196276057e+00
2729, 3.644305946060312e-02, 0.000000000000000e+00, -7.856513361061521e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000001221137e-01, -1.571302672212304e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.661968243447413e-03, 0.000000000000000e+00, 1.223972239175783e+04, 1.976978206930563e+00
2794, 4.007807072813950e-02, 0.000000000000000e+00, -7.279251368933487e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000901422e-01, -1.455850273786697e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.585991090360169e-03, 0.000000000000000e+00, 1.166836520537762e+04, 1.931260655721698e+00
2859, 4.404821595796903e-02, 0.000000000000000e+00, -6.692168943110623e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000676388e-01, -1.338433788622125e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.513842091996538e-03, 0.000000000000000e+00, 1.112715085132763e+04, 1.886821470965002e+00
2924, 4.838669361692351e-02, 0.000000000000000e+00, -6.102077660257969e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000520525e-01, -1.220415532051594e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.445262639965215e-03, 0.000000000000000e+00, 1.061382909236992e+04, 1.843588156671562e+00
2989, 5.312978217803701e-02, 0.000000000000000e+00, -5.516752699346491e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000408916e-01, -1.103350539869298e-03, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.380025483319028e-03, 0.000000000000000e+00, 1.012644143482944e+04, 1.801499203369235e+00
3054, 5.831714348216441e-02, 0.000000000000000e+00, -4.944509871015190e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000326289e-01, -9.889019742030380e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.317927742957426e-03, 0.000000000000000e+00, 9.663263218956015e+03, 1.760501183878503e+00
3119, 6.399215439141802e-02, 0.000000000000000e+00, -4.393689699604427e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000261414e-01, -8.787379399208854e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.258785627617388e-03, 0.000000000000000e+00, 9.222758999515489e+03, 1.720546479020989e+00
3184, 7.020226950771651e-02, 0.000000000000000e+00, -3.872083915803709e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000207628e-01, -7.744167831607419e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.202430575012889e-03, 0.000000000000000e+00, 8.803548316471119e+03, 1.681591590343401e+00
3249, 7.699941798951006e-02, 0.000000000000000e+00, -3.386377236807194e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000161190e-01, -6.772754473614389e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.148706596085168e-03, 0.000000000000000e+00, 8.404379631505422e+03, 1.643596011930788e+00
3314, 8.444043778487398e-02, 0.000000000000000e+00, -2.941672899839314e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000120518e-01, -5.883345799678627e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.097468597037292e-03, 0.000000000000000e+00, 8.024110656518408e+03, 1.606521612441396e+00
3379, 9.258755091203948e-02, 0.000000000000000e+00, -2.541164747896231e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000085009e-01, -5.082329495792462e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.048581425945237e-03, 0.000000000000000e+00, 7.661693529071671e+03, 1.570332437095682e+00
3444, 1.015088837616724e-01, 0.000000000000000e+00, -2.185998550089999e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000054198e-01, -4.371997100179997e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 1.001919319145445e-03, 0.000000000000000e+00, 7.316163293622129e+03, 1.534994758259694e+00
3509, 1.112790367716808e-01, 0.000000000000000e+00, -1.875352785894606e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000027587e-01, -3.750705571789211e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 9.573653274709169e-04, 0.000000000000000e+00, 6.986627962150492e+03, 1.500477089831736e+00
